rank	System.II	System.I	direction	Sum.System.I	Sum.System.II	CooccurCounts	Pagel.p.value	P.value.System.I.dep	P.value.System.II.dep	Bonferroni	Benjamini.Hochberg
118	Druantia III	PsyrTA	-1	1382	3391	530	1.34393542771611e-08	5.86967226297738e-05	3.58712894370144e-05	Y	Y
119	Zorya II	ietAS	-1	1979	2518	31	1.40016061486463e-08	7.41894013855429e-09	6.3890764090322e-05	Y	Y
120	BREX I	RM IV	-1	8297	1622	335	1.81406262074746e-08	1.55199091364811e-09	0.000585337091505523	Y	Y
121	CBASS I	Druantia III	-1	3391	4764	267	2.89861297103106e-08	1.25448567683906e-08	0.0183436750018759	Y	Y
122	Dpd	Helicase-DUF2290	1	164	1259	8	3.02406871851241e-08	0.340369806284393	0.0406592852779798	Y	Y
123	Retron XII	dsr I	1	369	474	29	4.19967796233116e-08	2.82441698476907e-08	1.28720399885429e-08	Y	Y
124	Lit	RexAB	1	456	336	140	4.47824355221172e-08	1.43324577889626e-05	6.03610996041643e-07	Y	Y
125	PsyrTA	hhe	-1	928	1382	1	4.66943768436102e-08	0.00015781067982925	0.00274765002915866	Y	Y
126	Druantia III	RexAB	1	456	3391	18	5.00979975481646e-08	0.0261339857114991	0.92002872298989	Y	Y
127	Dpd	Druantia III	-1	3391	1259	27	5.17816018433705e-08	2.3625229342201e-07	3.95688705476001e-07	Y	Y
128	DRT III	ietAS	1	1979	1497	223	5.3691651813186e-08	0.0917976996729112	4.22912052150576e-08	Y	Y
129	PsyrTA	Thoeris I	1	1541	1382	180	6.75250884761945e-08	3.43638388783717e-06	2.65021622902379e-06	Y	Y
130	RM I	Retron I-C	1	2026	18714	1828	6.90166227360866e-08	0.00311025565715211	1.68890128794964e-06	Y	Y
131	CBASS II	tmn	1	2182	456	64	6.93849140232991e-08	7.69279469499676e-06	0.00010132776031969	Y	Y
132	CRISPR I-E	Gabija	-1	4540	17573	2701	8.02413484920938e-08	0.135233883898102	7.70833158180358e-08	Y	Y
133	RM I	RM IIG	1	3307	18714	2593	8.09985701372264e-08	3.29778128853796e-07	0.0145607409595881	Y	Y
134	CRISPR I-E	Retron I-A	1	195	17573	120	8.25460085764332e-08	0.528794739363521	2.22224156764655e-07	Y	Y
135	Dpd	DprA-PRTase	1	204	1259	7	8.92866814210506e-08	0.224810621168608	0.0597466004432241	Y	Y
136	CBASS II	CRISPR I-E	1	17573	456	339	1.1418092142452e-07	1.40899221834658e-05	0.573813932598295	Y	Y
137	AbiE	ppl	1	686	5251	90	1.38563548639113e-07	0.0314070659229954	0.0318581739501093	Y	Y
138	PsyrTA	RM II	-1	26131	1382	1368	1.69586746072526e-07	0.059619666981336	9.92334004730395e-09	Y	Y
139	BREX I	hhe	1	928	1622	60	1.83746553501302e-07	0.0437416963812084	8.15247178402885e-06	Y	Y
140	RM IV	Zorya I	-1	489	8297	173	2.19174982536528e-07	0.415690587063446	1.89507551183244e-07	Y	Y
141	CRISPR I-E	Dnd_FGH	-1	1378	17573	1150	2.28663509903662e-07	3.74990462636126e-05	0.000184320401894052	Y	Y
142	hhe	ppl	1	686	928	49	2.39914680799078e-07	0.257334071623262	0.0603657908957378	Y	Y
143	AbiE	RM IV	-1	8297	5251	1521	2.53876302696051e-07	2.91483428639765e-08	0.851536391814567	Y	Y
144	BstA	RM II	1	26131	1136	1130	3.04052984719104e-07	0.908421042562161	0.292640738919937	Y	Y
145	Gabija	Zorya I	-1	489	4540	86	3.28376322947716e-07	1.10345082256812e-06	0.102215729577636	Y	Y
146	Gabija	SoFic	1	308	4540	99	3.35961919032488e-07	2.64217000373696e-07	0.181139439814906	Y	Y
147	PsyrTA	RM III	1	3335	1382	200	3.44273478905158e-07	0.000113414854445193	0.000201939107917694	Y	Y
148	AbiE	AbiQ	-1	203	5251	29	3.88442056615703e-07	0.248219671466157	0.000101766480930883	Y	Y
149	Retron I-C	Zorya II	-1	2518	2026	3	4.25279071600755e-07	2.54474377724075e-06	0.000997828014146149	Y	Y
150	CBASS II	Hachiman I	1	1244	456	73	4.59895072531855e-07	5.89393035368906e-08	8.61047678339303e-05	Y	Y
151	CBASS I	RM IV	1	8297	4764	1643	4.63616824220315e-07	0.343900863621767	2.83272510291307e-07	Y	Y
